iter	RMSE
0	0.9830640365
1	0.9681192119
2	0.9547154623
3	0.9389702904
4	0.9254367599
5	0.9117406994
6	0.8984310758
7	0.8854006725
8	0.8728927397
9	0.8596440276
10	0.8475768044
11	0.83611567
12	0.8240898951
13	0.8137285362
14	0.802603236
15	0.7913722444
16	0.7806722369
17	0.7696573748
18	0.7593266283
19	0.7496138679
20	0.740105401
21	0.7292444969
22	0.7195664168
23	0.7096056679
24	0.7007837512
25	0.6921771077
26	0.6843940494
27	0.6759862124
28	0.6676679
29	0.6590894017
30	0.6511969571
31	0.6433136332
32	0.635255417
33	0.6276158283
34	0.6202609989
35	0.6135225623
36	0.6066294557
37	0.6006759729
38	0.5953686501
39	0.5894436069
40	0.5842674021
41	0.5789830107
42	0.5729872615
43	0.5668573084
44	0.5621247372
45	0.5569345226
46	0.5522913781
47	0.5477407161
48	0.54333387
49	0.5392728431
50	0.5348637461
51	0.5303970341
52	0.5263458859
53	0.5219708867
54	0.5179122044
55	0.5136186896
56	0.5092118604
57	0.5052727765
58	0.5013855443
59	0.4975998911
60	0.4935372226
61	0.4896430612
62	0.4860672697
63	0.4824704927
64	0.4791814621
65	0.4761353061
66	0.4732067448
67	0.4702739678
68	0.4674313361
69	0.4641541379
70	0.4609337151
71	0.457898933
72	0.4548857141
73	0.4520276628
74	0.4489870669
75	0.4463471042
76	0.4438843056
77	0.4418022364
78	0.4391310902
79	0.4369331682
80	0.4343046646
81	0.4319217535
82	0.4294873053
83	0.4272479749
84	0.4247924739
85	0.4230345551
86	0.4205304492
87	0.4183343565
88	0.4163194131
89	0.4142336824
90	0.4122330895
91	0.4105656987
92	0.4086322348
93	0.4069158908
94	0.4054074628
95	0.4039115286
96	0.4021937533
97	0.3999463231
98	0.3982278154
99	0.3962355809
100	0.3947658837
101	0.3931248113
102	0.3915790745
103	0.3901136476
104	0.3883520473
105	0.3866563348
106	0.384859961
107	0.3831279211
108	0.3816335795
109	0.3798240737
110	0.3786897946
111	0.3766541753
112	0.375627086
113	0.3745601093
114	0.372811869
115	0.3709505633
116	0.3696960491
117	0.3683454914
118	0.3667988718
119	0.3657541097
120	0.3641742575
121	0.3630225286
122	0.3615804607
123	0.3605222995
124	0.359079603
125	0.3579584403
126	0.3565264212
127	0.3554053082
128	0.354166694
129	0.3528093043
130	0.3517893266
131	0.3506602178
132	0.3493009225
133	0.3481166488
134	0.3470554214
135	0.3460096262
136	0.3445773216
137	0.3433362562
138	0.3423656628
139	0.3415406991
140	0.3403704519
141	0.3394486113
142	0.3382940307
143	0.336983051
144	0.3361245651
145	0.3352963467
146	0.3341579744
147	0.3333499933
148	0.3322785301
149	0.3312771064
150	0.3305675073
151	0.3295925988
152	0.3287801601
153	0.3275123435
154	0.3266291626
155	0.3258225774
156	0.3249525059
157	0.324171342
158	0.3234537183
159	0.3226695017
160	0.3219994975
161	0.3213354108
162	0.3206125908
163	0.3200117413
164	0.3190674424
165	0.3182687234
166	0.3174578671
167	0.3168514533
168	0.316064538
169	0.3152213276
170	0.3145672625
171	0.3141239966
172	0.3135629152
173	0.312833107
174	0.3122209544
175	0.3116719012
176	0.3109308848
177	0.3103688474
178	0.3098442503
179	0.3091880856
180	0.3084012793
181	0.307717769
182	0.3070057414
183	0.3063189803
184	0.3057113956
185	0.3050969519
186	0.304632473
187	0.3040969907
188	0.3035162783
189	0.302946231
190	0.3025728555
191	0.3020979649
192	0.3016118965
193	0.3011091395
194	0.3006009252
195	0.299952649
196	0.2993794081
197	0.2987486084
198	0.2981703978
199	0.2976903254
200	0.2970683908
201	0.2966070768
202	0.2962171003
203	0.2957546644
204	0.2953425564
205	0.2948333583
206	0.2943606274
207	0.2940410193
208	0.2935766224
209	0.2931053856
210	0.2926918949
211	0.2920788742
212	0.2916660983
213	0.2912558199
214	0.2906477254
215	0.2902548061
216	0.2898523721
217	0.2892641483
218	0.2888483654
219	0.2884093159
220	0.2880528241
221	0.2877112338
222	0.2874322833
223	0.2870822585
224	0.2866266856
225	0.2861112822
226	0.2856799327
227	0.2851413494
228	0.284862115
229	0.2845813069
230	0.2840552018
231	0.2836521878
232	0.2833059311
233	0.2829625996
234	0.2826280558
235	0.2821599179
236	0.2818200302
237	0.2814070581
238	0.2810997721
239	0.280762116
240	0.2803642102
241	0.2800025534
242	0.2796127082
243	0.2791849793
244	0.2788670009
245	0.2784646803
246	0.2782085295
247	0.277900959
248	0.2774090754
249	0.2770597727
250	0.2767740479
251	0.2764254886
252	0.2760897781
253	0.2757264143
254	0.2753585707
255	0.2749849519
256	0.2746710229
257	0.2743256973
258	0.2739596474
259	0.273742986
260	0.2732662502
261	0.2729514441
262	0.2725952784
263	0.272328448
264	0.2721039593
265	0.2716582811
266	0.2713456184
267	0.2710101415
268	0.2705996927
269	0.2702094696
270	0.2698904333
271	0.2696368814
272	0.2692381492
273	0.2688913902
274	0.2685834971
275	0.2683095249
276	0.2679775875
277	0.2676955424
278	0.2674246729
279	0.2671067395
280	0.2668188206
281	0.2664852682
282	0.2662178658
283	0.2659188869
284	0.2656049587
285	0.2652988739
286	0.2650484175
287	0.2647740685
288	0.2645174773
289	0.264260176
290	0.2639180427
291	0.263622896
292	0.2633339698
293	0.2629778983
294	0.2627283617
295	0.2624038173
296	0.2621460849
297	0.2619172997
298	0.2616221269
299	0.2614239843
300	0.2611035486
301	0.2609137318
302	0.2606268907
303	0.2603706555
304	0.2600324636
305	0.2597424046
306	0.2594596338
307	0.25919848
308	0.2589256614
309	0.2586167094
310	0.258357884
311	0.2580383649
312	0.2577642072
313	0.2574518656
314	0.2572665263
315	0.256961271
316	0.2566147102
317	0.2563585248
318	0.2560720769
319	0.2558119093
320	0.2556145976
321	0.2553679202
322	0.2550365764
323	0.2547692039
324	0.2544658292
325	0.2541602253
326	0.2538981823
327	0.2537159834
328	0.2534904792
329	0.2531843469
330	0.252966157
331	0.2527072059
332	0.2524728225
333	0.2522008173
334	0.2519926926
335	0.2517161977
336	0.251438955
337	0.2512106074
338	0.2509690508
339	0.2508181656
340	0.2506207122
341	0.2503715967
342	0.2501279173
343	0.249907083
344	0.2496392425
345	0.2494489923
346	0.249236195
347	0.2490288516
348	0.2487793863
349	0.2485127702
350	0.248291017
351	0.2479692669
352	0.2476518611
353	0.2474210557
354	0.2471608863
355	0.2469355709
356	0.246696655
357	0.2464810255
358	0.2462368322
359	0.2460186825
360	0.245771225
361	0.245550134
362	0.2453178691
363	0.2449999961
364	0.2447644655
365	0.2445812623
366	0.244262316
367	0.2440132505
368	0.2437914932
369	0.2435496905
370	0.2433716725
371	0.243176115
372	0.2429392521
373	0.2427503484
374	0.2425584501
375	0.2423558943
376	0.2421704423
377	0.2419236839
378	0.2416967462
379	0.2415073447
380	0.2413252311
381	0.2410322557
382	0.2408134178
383	0.2405903552
384	0.2404085973
385	0.2402036319
386	0.2400067389
387	0.2397847086
388	0.2395734167
389	0.2393866195
390	0.2392410577
391	0.2390108435
392	0.238739392
393	0.2385279163
394	0.2383791708
395	0.2382084787
396	0.2379796712
397	0.2377477127
398	0.2375527553
399	0.2373725172
400	0.2371197511
401	0.2369227093
402	0.2367449129
403	0.2365697681
404	0.2363328965
405	0.2360382307
406	0.2358730644
407	0.2356504162
408	0.2353986929
409	0.2351122047
410	0.2349793839
411	0.2347498834
412	0.234519058
413	0.2342862055
414	0.2341379792
415	0.2338545504
416	0.2337194883
417	0.2334501692
418	0.2332235799
419	0.2330059786
420	0.232806687
421	0.2325380874
422	0.2323497039
423	0.2322564415
424	0.2320584969
425	0.2319106201
426	0.2316934037
427	0.2315402201
428	0.2312762733
429	0.231061533
430	0.2308288949
431	0.2306826212
432	0.2304068142
433	0.2302267054
434	0.2300311899
435	0.2297912809
436	0.2296160768
437	0.2294460196
438	0.2292576593
439	0.2290143912
440	0.2288459675
441	0.2286758403
442	0.2284891508
443	0.228249634
444	0.2281052928
445	0.2278970315
446	0.2276147149
447	0.2273529223
448	0.2271834894
449	0.226972359
450	0.226825133
451	0.2266073386
452	0.2263591182
453	0.2261046921
454	0.2259191795
455	0.2257637355
456	0.2256184752
457	0.225434122
458	0.225289258
459	0.2251088653
460	0.2249488848
461	0.2248173242
462	0.2246853875
463	0.2244842377
464	0.2242056741
465	0.2239934521
466	0.2238227149
467	0.2235764601
468	0.2234393913
469	0.2231958859
470	0.2229990842
471	0.2228191748
472	0.2226110591
473	0.2224596534
474	0.2222232129
475	0.2220249371
476	0.2218600651
477	0.2217110876
478	0.2215106791
479	0.2213718036
480	0.2211432886
481	0.2209483929
482	0.2208061933
483	0.220592677
484	0.2204194669
485	0.220249341
486	0.2200081553
487	0.2198374646
488	0.2196787665
489	0.2195143524
490	0.2193700831
491	0.2191746573
492	0.2189693729
493	0.2187507169
494	0.2185637632
495	0.2184444427
496	0.2182799262
497	0.2180862034
498	0.2178333127
499	0.2176348997
500	0.2174559332
501	0.2172601964
502	0.2170560118
503	0.2169062976
504	0.216741071
505	0.2164949281
506	0.2162759151
507	0.216062081
508	0.2159163764
509	0.2157845014
510	0.215624757
511	0.2154850491
512	0.2153310824
513	0.2151897631
514	0.2149621704
515	0.214841302
516	0.2145448477
517	0.2143587416
518	0.214215191
519	0.2139341476
520	0.2137455403
521	0.2135219667
522	0.2133193313
523	0.2131649621
524	0.2130072885
525	0.2128039424
526	0.2126318188
527	0.2125011799
528	0.2122839848
529	0.2120849862
530	0.2119332176
531	0.211806885
532	0.2116690348
